Source,d(kpc),+-,Ref,Av,+-,Ref,M_BH,+-,Ref,Optical,Outburst,(all with dmag < 0.3),,,,Reddened flux (mJy),,,,De-reddened flux (mJy),,,,,X-ray,F_X_unabs,range,MJD,log(Lx_bol),log(Lx/L_Edd),log(L_opt),log(Lopt/L_Edd),optical lag,+-,ref(lag),Notes
,,,,,,,,,,54587.35508,2008hard,17.97,,,,0.23584348,,,,4.70569608,,,,,,,,,,,,,,,,
,,,,,,,,,,54588.35027,2008hard,17.71,,,,0.2996566186,,,,5.978935586,,,,,,,,,,,,,,,,
,,,,,,,,,,54589.27004,2008hard,18.11,,,,0.2073117294,,,,4.136412811,,,,,,,,,,,,,,,,
,,,,,,,,,,54590.14325,2008hard,17.9,,,,0.251549741,,,,5.019077186,,,,,,,,,,,,,,,,
,,,,,,,,,,54591.33594,2008hard,18.06,,,,0.2170820302,,,,4.331355941,,,,,,,,,,,,,,,,
,,,,,,,,,,54592.31158,2008hard,18.27,,,,0.1789055752,,,,3.569635521,,,,,,,,,,,,,,,,
,,,,,,,,,,54593.23428,2008hard,18.2,,,,0.1908199925,,,,3.807359401,,,,,,,,,,,,,,,,
,,,,,,,,,,54594.27644,2008hard,18.13,,,,0.2035278639,,,,4.060914769,,,,,,,,,,,,,,,,
,,,,,,,,,,54595.0942,2008hard,17.93,,,,0.2446943122,,,,4.882293399,,,,,,,,,,,,,,,,
,,,,,,,,,,54596.22318,2008hard,18.32,,,,0.1708534979,,,,3.408975457,,,,,,,,,,,,,,,,
,,,,,,,,,,54597.21167,2008hard,17.96,,,,0.2380257129,,,,4.749237349,,,,,,,,,,,,,,,,
,,,,,,,,,,54598.23182,2008hard,18.2,,,,0.1908199925,,,,3.807359401,,,,,,,,,,,,,,,,
,,,,,,,,,,54599.29218,2008hard,18.01,,,,0.2273127911,,,,4.535486458,,,,,,,,,,,,,,,,
,,,,,,,,,,54600.25435,2008hard,17.68,,,,0.3080518878,,,,6.146443227,,,,,,,,,,,,,,,,
,,,,,,,,,,54601.23697,2008hard,18.12,,,,0.205411084,,,,4.098489951,,,,,,,,,,,,,,,,
,,,,,,,,,,54602.34038,2008hard,17.99,,,,0.2315388514,,,,4.619807447,,,,,,,,,,,,,,,,
,,,,,,,,,,54606.24959,2008hard,17.81,,,,0.2732900843,,,,5.452854062,,,,,,,,,,,,,,,,
,,,,,,,,,,54608.37371,2008hard,17.94,,,,0.2424509413,,,,4.837532264,,,,,,,,,,,,,,,,
,,,,,,,,,,54609.27705,2008hard,17.87,,,,0.2585972336,,,,5.159693149,,,,,,,,,,,,,,,,
,,,,,,,,,,54610.24807,2008hard,17.85,,,,0.2634049151,,,,5.255619006,,,,,,,,,,,,,,,,
,,,,,,,,,,54611.25268,2008hard,17.93,,,,0.2446943122,,,,4.882293399,,,,,,,,,,,,,,,,
,,,,,,,,,,54612.23041,2008hard,17.95,,,,0.2402281377,,,,4.793181501,,,,,,,,,,,,,,,,
,,,,,,,,,,54623.21262,2008hard,17.75,,,,0.2888177461,,,,5.762671648,,,,,,,,,,,,,,,,
,,,,,,,,,,54624.2758,2008hard,17.65,,,,0.3166823613,,,,6.318643813,,,,,,,,,,,,,,,,
,,,,,,,,,,54625.17867,2008hard,17.77,,,,0.2835462282,,,,5.657491037,,,,,,,,,,,,,,,,
,,,,,,,,,,54628.19829,2008hard,17.66,,,,0.313779,,,,6.260714139,,,,,,,,,,,,,,,,
,,,,,,,,,,54629.15027,2008hard,17.69,,,,0.3052276511,,,,6.090092297,,,,,,,,,,,,,,,,
,,,,,,,,,,54637.27178,2008hard,17.15,,,,0.5019077186,,,,10.01437557,,,,,,,,,,,,,,,,
,,,,,,,,,,54638.30711,2008hard,17.28,,,,0.4452704501,,,,8.88431349,,,,,,,,,,,,,,,,
,,,,,,,,,,54639.27028,2008hard,17.11,,,,0.5207435202,,,,10.39019922,,,,,,,,,,,,,,,,
,,,,,,,,,,54640.24806,2008hard,16.98,,,,0.5869807713,,,,11.71180613,,,,,,,,,,,,,,,,
,,,,,,,,,,54641.20712,2008hard,17.05,,,,0.5503308699,,,,10.98054446,,,,,,,,,,,,,,,,
,,,,,,,,,,54642.24765,2008hard,17.13,,,,0.5112388798,,,,10.20055671,,,,,,,,,,,,,,,,
,,,,,,,,,,54643.25408,2008hard,17.05,,,,0.5503308699,,,,10.98054446,,,,,54643.67,0.00000000077135,,54643.46204,37.00761537,-1.863607184,35.36698459,-3.504237962,,,,
,,,,,,,,,,54644.26481,2008hard,17.2,,,,0.4793181501,,,,9.563654419,,,,,54644.7,0.00000000056723,,54644.48241,36.87412308,-1.997099476,35.30698459,-3.564237962,,,,
,,,,,,,,,,54645.26407,2008hard,17.18,,,,0.4882293399,,,,9.741456029,,,,,,,,,,,,,,,,
,,,,,,,,,,54646.21066,2008hard,17.12,,,,0.5159693149,,,,10.2949413,,,,,54645.75,0.00000000045421,,54645.98033,36.77762058,-2.093601976,35.33898459,-3.532237962,,,,
,,,,,,,,,,54647.17294,2008hard,17.03,,,,0.5605622847,,,,11.18468802,,,,,54647.6,0.00000000075803,,54647.38647,37.00005028,-1.871172274,35.37498459,-3.496237962,,,,
,,,,,,,,,,54648.1156,2008hard,17.03,,,,0.5605622847,,,,11.18468802,,,,,54648.44,0.00000000081493,,54648.2778,37.03148419,-1.839738362,35.37498459,-3.496237962,,,,
,,,,,,,,,,54649.213,2008hard,16.92,,,,0.6203315566,,,,12.37724178,,,,,,,,,,,,,,,,
,,,,,,,,,,54650.17066,2008hard,17.01,,,,0.5709839157,,,,11.39262689,,,,,,,,,,,,,,,,
,,,,,,,,,,54651.1111,2008hard,16.94,,,,0.6090092297,,,,12.15133166,,,,,54651.52,0.00000000075136,,54651.31555,36.99621196,-1.875010597,35.41098459,-3.460237962,,,,
,,,,,,,,,,54652.17957,2008hard,16.9,,,,0.6318643813,,,,12.60735188,,,,,,,,,,,,,,,,
,,,,,,,,,,54653.16203,2008hard,17.03,,,,0.5605622847,,,,11.18468802,,,,,54652.77,0.00000000081278,,54652.96602,37.0303369,-1.840885659,35.37498459,-3.496237962,,,,
,,,,,,,,,,54654.1981,2008hard,16.86,,,,0.6555772506,,,,13.08048583,,,,,54653.75,0.0000000010049,,54653.97405,37.12248674,-1.748735821,35.44298459,-3.428237962,,,,
,,,,,,,,,,54655.22351,2008hard,16.89,,,,0.6377109505,,,,12.72400627,,,,,,,,,,,,,,,,
,,,,,,,,,,54656.17349,2008hard,16.85,,,,0.6616432322,,,,13.20151807,,,,,54655.71,0.00000000083274,,54655.94175,37.04087332,-1.830349241,35.44698459,-3.424237962,,,,
,,,,,,,,,,54657.20436,2008hard,16.99,,,,0.5815992992,,,,11.60443164,,,,,,,,,,,,,,,,
,,,,,,,,,,54658.21885,2008hard,16.82,,,,0.6801800262,,,,13.57137574,,,,,54658.72,0.0000000011562,,54658.46943,37.18339685,-1.687825703,35.45898459,-3.412237962,,,,
,,,,,,,,,,54659.22763,2008hard,16.92,,,,0.6203315566,,,,12.37724178,,,,,,,,,,,,,,,,
,,,,,,,,,,54660.12688,2008hard,16.81,,,,0.6864736545,,,,13.69695013,,,,,,,,,,,,,,,,
,,,,,,,,,,54661.24323,2008hard,16.95,,,,0.6034257995,,,,12.03992758,,,,,54660.99,0.00000000060811,,54661.11662,36.90434603,-1.966876522,35.40698459,-3.464237962,,,,
,,,,,,,,,,54662.25402,2008hard,16.84,,,,0.6677653416,,,,13.32367021,,,,,54661.97,0.00000000094786,,54662.11201,37.09710809,-1.774114471,35.45098459,-3.420237962,,,,
,,,,,,,,,,54663.16022,2008hard,16.86,,,,0.6555772506,,,,13.08048583,,,,,,,,,,,,,,,,
,,,,,,,,,,54664.17658,2008hard,16.82,,,,0.6801800262,,,,13.57137574,,,,,,,,,,,,,,,,
,,,,,,,,,,54665.18038,2008hard,16.79,,,,0.6992361526,,,,13.95159545,,,,,,,,,,,,,,,,
,,,,,,,,,,54666.16952,2008hard,16.91,,,,0.6260714139,,,,12.49176699,,,,,54665.96,0.0000000012415,,54666.06476,37.21431061,-1.656911944,35.42298459,-3.448237962,,,,
,,,,,,,,,,54671.14485,2008hard,16.86,,,,0.6555772506,,,,13.08048583,,,,,54670.95,0.0000000010333,,54671.04743,37.13459032,-1.736632238,35.44298459,-3.428237962,,,,
,,,,,,,,,,54672.19274,2008hard,16.79,,,,0.6992361526,,,,13.95159545,,,,,,,,,,,,,,,,
,,,,,,,,,,54674.21078,2008hard,16.79,,,,0.6992361526,,,,13.95159545,,,,,,,,,,,,,,,,
,,,,,,,,,,54675.19069,2008hard,16.88,,,,0.6436116172,,,,12.84174005,,,,,,,,,,,,,,,,
,,,,,,,,,,54677.21933,2008hard,16.79,,,,0.6992361526,,,,13.95159545,,,,,,,,,,,,,,,,
,,,,,,,,,,54678.15375,2008hard,17.01,,,,0.5709839157,,,,11.39262689,,,,,,,,,,,,,,,,
,,,,,,,,,,54681.16803,2008hard,16.93,,,,0.6146443227,,,,12.26376654,,,,,,,,,,,,,,,,
,,,,,,,,,,54682.16304,2008hard,17.01,,,,0.5709839157,,,,11.39262689,,,,,,,,,,,,,,,,
,,,,,,,,,,54683.17544,2008hard,16.85,,,,0.6616432322,,,,13.20151807,,,,,,,,,,,,,,,,
,,,,,,,,,,54684.10244,2008hard,16.81,,,,0.6864736545,,,,13.69695013,,,,,,,,,,,,,,,,
,,,,,,,,,,54685.1045,2008hard,16.94,,,,0.6090092297,,,,12.15133166,,,,,,,,,,,,,,,,
,,,,,,,,,,54687.14194,2008hard,16.94,,,,0.6090092297,,,,12.15133166,,,,,,,,,,,,,,,,
,,,,,,,,,,54690.16932,2008hard,16.87,,,,0.6495668822,,,,12.96056321,,,,,,,,,,,,,,,,
,,,,,,,,,,54691.15121,2008hard,16.74,,,,0.7321901372,,,,14.60911388,,,,,,,,,,,,,,,,
,,,,,,,,,,54698.11387,2008hard,16.94,,,,0.6090092297,,,,12.15133166,,,,,,,,,,,,,,,,
,,,,,,,,,,54700.09244,2008hard,16.93,,,,0.6146443227,,,,12.26376654,,,,,,,,,,,,,,,,
,,,,,,,,,,54701.07873,2008hard,16.88,,,,0.6436116172,,,,12.84174005,,,,,,,,,,,,,,,,
,,,,,,,,,,54702.08294,2008hard,16.84,,,,0.6677653416,,,,13.32367021,,,,,,,,,,,,,,,,
,,,,,,,,,,54703.12183,2008hard,16.9,,,,0.6318643813,,,,12.60735188,,,,,,,,,,,,,,,,
,,,,,,,,,,54704.129,2008hard,16.69,,,,0.7666971953,,,,15.29762021,,,,,,,,,,,,,,,,
,,,,,,,,,,54707.11,2008hard,16.9,,,,0.6318643813,,,,12.60735188,,,,,,,,,,,,,,,,
,,,,,,,,,,54708.06853,2008hard,16.9,,,,0.6318643813,,,,12.60735188,,,,,,,,,,,,,,,,
,,,,,,,,,,54709.0854,2008hard,16.89,,,,0.6377109505,,,,12.72400627,,,,,,,,,,,,,,,,
,,,,,,,,,,54710.10979,2008hard,16.8,,,,0.6928255171,,,,13.82368645,,,,,,,,,,,,,,,,
,,,,,,,,,,54740.99614,2008hard,17.25,,,,0.4577452797,,,,9.133219065,,,,,,,,,,,,,,,,
,,,,,,,,,,54742.07212,2008hard,17.14,,,,0.5065518136,,,,10.10703744,,,,,,,,,,,,,,,,
,,,,,,,,,,54743.02084,2008hard,17.48,,,,0.3703598287,,,,7.389650092,,,,,,,,,,,,,,,,
,,,,,,,,,,54743.9965,2008hard,17.1,,,,0.5255619006,,,,10.48633855,,,,,,,,,,,,,,,,
,,,,,,,,,,54745.00708,2008hard,17.45,,,,0.3807359401,,,,7.596680732,,,,,,,,,,,,,,,,
,,,,,,,,,,54746.04995,2008hard,17.44,,,,0.3842588464,,,,7.666971953,,,,,,,,,,,,,,,,
,,,,,,,,,,54871.3391,2009hard,18.79,,,,0.1108214618,,,,2.211178865,,,,,,,,,,,,,,,,
,,,,,,,,,,54873.33788,2009hard,19.18,,,,0.07737913571,,,,1.543916735,,,,,,,,,,,,,,,,
,,,,,,,,,,54875.3288,2009hard,17.97,,,,0.23584348,,,,4.70569608,,,,,,,,,,,,,,,,
,,,,,,,,,,54877.31846,2009hard,18.52,,,,0.1421097497,,,,2.835462282,,,,,,,,,,,,,,,,
,,,,,,,,,,54879.35844,2009hard,17.72,,,,0.2969093502,,,,5.924120375,,,,,,,,,,,,,,,,
,,,,,,,,,,54882.38282,2009hard,17.33,,,,0.4252299786,,,,8.484453514,,,,,,,,,,,,,,,,
,,,,,,,,,,54884.36255,2009hard,17.06,,,,0.5452854062,,,,10.87987422,,,,,,,,,,,,,,,,
,,,,,,,,,,54885.31035,2009hard,16.76,,,,0.7188261611,,,,14.3424675,,,,,,,,,,,,,,,,
,,,,,,,,,,54886.35128,2009hard,16.83,,,,0.6739440983,,,,13.44695262,,,,,,,,,,,,,,,,
,,,,,,,,,,54887.33584,2009hard,16.73,,,,0.7389650092,,,,14.74429035,,,,,,,,,,,,,,,,
,,,,,,,,,,54888.29558,2009hard,16.55,,,,0.8722156494,,,,17.40299016,,,,,,,,,,,,,,,,
,,,,,,,,,,54889.30834,2009hard,16.79,,,,0.6992361526,,,,13.95159545,,,,,54889.15,0.0000000011175,,54889.22917,37.16861142,-1.702611136,35.47098459,-3.400237962,,,,
,,,,,,,,,,54890.31425,2009hard,16.54,,,,0.8802861614,,,,17.56401804,,,,,54890.08,0.0000000015289,,54890.19713,37.30474297,-1.566479587,35.57098459,-3.300237962,,,,
,,,,,,,,,,54891.33751,2009hard,16.63,,,,0.8102590203,,,,16.16679289,,,,,54891.26,0.0000000020193,,54891.29876,37.42556473,-1.445657822,35.53498459,-3.336237962,,,,
,,,,,,,,,,54892.34037,2009hard,16.43,,,,0.9741456029,,,,19.43676011,,,,,54892.1,0.0000000016386,,54892.22019,37.33483684,-1.536385717,35.61498459,-3.256237962,,,,
,,,,,,,,,,54894.32405,2009hard,16.53,,,,0.888431349,,,,17.7265359,,,,,54894.17,0.0000000029475,,54894.24703,37.5898177,-1.281404854,35.57498459,-3.296237962,,,,
,,,,,,,,,,54895.37091,2009hard,16.66,,,,0.7881772125,,,,15.7262029,,,,,54895.94,0.0000000034201,,54895.65546,37.65440269,-1.216819863,35.52298459,-3.348237962,,,,
,,,,,,,,,,54896.35738,2009hard,16.58,,,,0.8484453514,,,,16.92871036,,,,,54896.22,0.0000000032561,,54896.28869,37.63306162,-1.238160933,35.55498459,-3.316237962,,,,
,,,,,,,,,,54897.32434,2009hard,16.24,,,,1.160443164,,,,23.15388514,,,,,54897.71,0.0000000052578,,54897.51717,37.84116795,-1.030054606,35.69098459,-3.180237962,,,,
,,,,,,,,,,54899.3212,2009hard,16.43,,,,0.9741456029,,,,19.43676011,,,,,,,,,,,,,,,,
,,,,,,,,,,54900.34254,2009hard,16.31,,,,1.087987422,,,,21.70820302,,,,,,,,,,,,,,,,
,,,,,,,,,,54901.35866,2009hard,16.39,,,,1.010703744,,,,20.16619092,,,,,,,,,,,,,,,,
,,,,,,,,,,54902.33302,2009hard,16.21,,,,1.192954486,,,,23.80257129,,,,,,,,,,,,,,,,
,,,,,,,,,,54903.3472,2009hard,16.36,,,,1.039019922,,,,20.73117294,,,,,,,,,,,,,,,,
,,,,,,,,,,54905.34705,2009hard,16.18,,,,1.226376654,,,,24.46943122,,,,,,,,,,,,,,,,
,,,,,,,,,,54906.31617,2009hard,16.08,,,,1.344695262,,,,26.83019781,,,,,,,,,,,,,,,,
,,,,,,,,,,54907.30779,2009hard,16.14,,,,1.272400627,,,,25.38773021,,,,,,,,,,,,,,,,
,,,,,,,,,,54908.36564,2009hard,16.06,,,,1.369695013,,,,27.32900843,,,,,,,,,,,,,,,,
,,,,,,,,,,54909.30252,2009hard,16.04,,,,1.395159545,,,,27.83709263,,,,,,,,,,,,,,,,
,,,,,,,,,,54910.34159,2009hard,16.19,,,,1.215133166,,,,24.24509413,,,,,,,,,,,,,,,,
,,,,,,,,,,54911.33515,2009hard,16.12,,,,1.296056321,,,,25.85972336,,,,,,,,,,,,,,,,
,,,,,,,,,,54912.34804,2009hard,16.25,,,,1.149804157,,,,22.94160905,,,,,,,,,,,,,,,,
,,,,,,,,,,54913.31289,2009hard,16.17,,,,1.237724178,,,,24.69584408,,,,,,,,,,,,,,,,
,,,,,,,,,,54915.35207,2009hard,16.18,,,,1.226376654,,,,24.46943122,,,,,,,,,,,,,,,,
,,,,,,,,,,54916.33136,2009hard,16.1,,,,1.320151807,,,,26.34049151,,,,,,,,,,,,,,,,
,,,,,,,,,,54916.3406,2009hard,16.1,,,,1.320151807,,,,26.34049151,,,,,,,,,,,,,,,,
,,,,,,,,,,54917.36554,2009hard,16.31,,,,1.087987422,,,,21.70820302,,,,,,,,,,,,,,,,
,,,,,,,,,,54918.3251,2009hard,16.17,,,,1.237724178,,,,24.69584408,,,,,,,,,,,,,,,,
,,,,,,,,,,54919.29409,2009hard,16.18,,,,1.226376654,,,,24.46943122,,,,,,,,,,,,,,,,
,,,,,,,,,,54920.29896,2009hard,16.15,,,,1.260735188,,,,25.1549741,,,,,,,,,,,,,,,,
,,,,,,,,,,54921.36103,2009hard,16.56,,,,0.8642191282,,,,17.24343858,,,,,,,,,,,,,,,,
,,,,,,,,,,54922.30926,2009hard,16.24,,,,1.160443164,,,,23.15388514,,,,,,,,,,,,,,,,
,,,,,,,,,,54923.32806,2009hard,16.32,,,,1.078012693,,,,21.50918102,,,,,,,,,,,,,,,,
,,,,,,,,,,54924.29713,2009hard,16.26,,,,1.139262689,,,,22.73127911,,,,,,,,,,,,,,,,
,,,,,,,,,,54925.35051,2009hard,16.2,,,,1.203992758,,,,24.02281377,,,,,,,,,,,,,,,,
,,,,,,,,,,54926.2256,2009hard,16.21,,,,1.192954486,,,,23.80257129,,,,,,,,,,,,,,,,
,,,,,,,,,,54927.32699,2009hard,16.24,,,,1.160443164,,,,23.15388514,,,,,,,,,,,,,,,,
,,,,,,,,,,54928.31709,2009hard,16.33,,,,1.068129413,,,,21.31198366,,,,,,,,,,,,,,,,
,,,,,,,,,,54929.28119,2009hard,16.26,,,,1.139262689,,,,22.73127911,,,,,,,,,,,,,,,,
,,,,,,,,,,54930.39355,2009hard,16.48,,,,0.9303018285,,,,18.5619618,,,,,,,,,,,,,,,,
,,,,,,,,,,54931.31226,2009hard,16.26,,,,1.139262689,,,,22.73127911,,,,,,,,,,,,,,,,
,,,,,,,,,,54932.30084,2009hard,16.45,,,,0.9563654419,,,,19.08199925,,,,,,,,,,,,,,,,
,,,,,,,,,,54933.31201,2009hard,16.45,,,,0.9563654419,,,,19.08199925,,,,,,,,,,,,,,,,
,,,,,,,,,,54934.33907,2009hard,16.43,,,,0.9741456029,,,,19.43676011,,,,,,,,,,,,,,,,
,,,,,,,,,,54935.32596,2009hard,16.52,,,,0.896651903,,,,17.89055752,,,,,,,,,,,,,,,,
,,,,,,,,,,54936.28397,2009hard,16.46,,,,0.9475974308,,,,18.90705443,,,,,,,,,,,,,,,,
,,,,,,,,,,54937.27832,2009hard,16.58,,,,0.8484453514,,,,16.92871036,,,,,,,,,,,,,,,,
,,,,,,,,,,54938.3005,2009hard,16.45,,,,0.9563654419,,,,19.08199925,,,,,,,,,,,,,,,,
,,,,,,,,,,54939.29278,2009hard,16.56,,,,0.8642191282,,,,17.24343858,,,,,,,,,,,,,,,,
,,,,,,,,,,54940.21897,2009hard,16.49,,,,0.92177277,,,,18.39178471,,,,,,,,,,,,,,,,
,,,,,,,,,,54941.31818,2009hard,16.44,,,,0.9652145823,,,,19.25856282,,,,,,,,,,,,,,,,
,,,,,,,,,,54942.35727,2009hard,16.61,,,,0.8253228601,,,,16.46735601,,,,,,,,,,,,,,,,
,,,,,,,,,,54943.26588,2009hard,16.54,,,,0.8802861614,,,,17.56401804,,,,,,,,,,,,,,,,
,,,,,,,,,,54944.23928,2009hard,16.52,,,,0.896651903,,,,17.89055752,,,,,,,,,,,,,,,,
,,,,,,,,,,54946.36177,2009hard,16.6,,,,0.8329594785,,,,16.61972657,,,,,,,,,,,,,,,,
,,,,,,,,,,54947.29957,2009hard,16.45,,,,0.9563654419,,,,19.08199925,,,,,,,,,,,,,,,,
,,,,,,,,,,54948.28177,2009hard,16.5,,,,0.9133219065,,,,18.22316781,,,,,,,,,,,,,,,,
,,,,,,,,,,54949.30667,2009hard,16.52,,,,0.896651903,,,,17.89055752,,,,,,,,,,,,,,,,
,,,,,,,,,,54951.30459,2009hard,16.52,,,,0.896651903,,,,17.89055752,,,,,,,,,,,,,,,,
,,,,,,,,,,54953.3216,2009hard,16.68,,,,0.7737913571,,,,15.43916735,,,,,,,,,,,,,,,,
,,,,,,,,,,54954.30062,2009hard,16.52,,,,0.896651903,,,,17.89055752,,,,,,,,,,,,,,,,
,,,,,,,,,,54955.30827,2009hard,17.02,,,,0.5657491037,,,,11.28817866,,,,,,,,,,,,,,,,
,,,,,,,,,,54956.24581,2009hard,16.49,,,,0.92177277,,,,18.39178471,,,,,,,,,,,,,,,,
,,,,,,,,,,54959.33055,2009hard,16.56,,,,0.8642191282,,,,17.24343858,,,,,,,,,,,,,,,,
,,,,,,,,,,54960.38018,2009hard,16.54,,,,0.8802861614,,,,17.56401804,,,,,,,,,,,,,,,,
,,,,,,,,,,54961.25484,2009hard,16.51,,,,0.9049485209,,,,18.05609681,,,,,,,,,,,,,,,,
,,,,,,,,,,54962.32737,2009hard,16.68,,,,0.7737913571,,,,15.43916735,,,,,,,,,,,,,,,,
,,,,,,,,,,54964.24514,2009hard,16.49,,,,0.92177277,,,,18.39178471,,,,,,,,,,,,,,,,
,,,,,,,,,,54965.31938,2009hard,16.48,,,,0.9303018285,,,,18.5619618,,,,,,,,,,,,,,,,
,,,,,,,,,,54966.31743,2009hard,16.5,,,,0.9133219065,,,,18.22316781,,,,,,,,,,,,,,,,
,,,,,,,,,,54967.38642,2009hard,16.52,,,,0.896651903,,,,17.89055752,,,,,,,,,,,,,,,,
,,,,,,,,,,54968.25423,2009hard,16.46,,,,0.9475974308,,,,18.90705443,,,,,,,,,,,,,,,,
,,,,,,,,,,54969.29169,2009hard,16.56,,,,0.8642191282,,,,17.24343858,,,,,,,,,,,,,,,,
,,,,,,,,,,54970.32726,2009hard,16.54,,,,0.8802861614,,,,17.56401804,,,,,,,,,,,,,,,,
,,,,,,,,,,54971.31998,2009hard,16.49,,,,0.92177277,,,,18.39178471,,,,,,,,,,,,,,,,
,,,,,,,,,,54972.37442,2009hard,16.5,,,,0.9133219065,,,,18.22316781,,,,,,,,,,,,,,,,
,,,,,,,,,,54973.3391,2009hard,16.5,,,,0.9133219065,,,,18.22316781,,,,,,,,,,,,,,,,
,,,,,,,,,,54974.26405,2009hard,16.53,,,,0.888431349,,,,17.7265359,,,,,,,,,,,,,,,,
,,,,,,,,,,54975.19626,2009hard,16.49,,,,0.92177277,,,,18.39178471,,,,,,,,,,,,,,,,
,,,,,,,,,,54976.37612,2009hard,16.55,,,,0.8722156494,,,,17.40299016,,,,,,,,,,,,,,,,
,,,,,,,,,,54982.22028,2009hard,16.57,,,,0.8562959196,,,,17.08534979,,,,,,,,,,,,,,,,
,,,,,,,,,,54983.31096,2009hard,16.52,,,,0.896651903,,,,17.89055752,,,,,,,,,,,,,,,,
,,,,,,,,,,54984.25443,2009hard,16.43,,,,0.9741456029,,,,19.43676011,,,,,,,,,,,,,,,,
,,,,,,,,,,54985.31205,2009hard,16.53,,,,0.888431349,,,,17.7265359,,,,,,,,,,,,,,,,
,,,,,,,,,,54986.2073,2009hard,16.53,,,,0.888431349,,,,17.7265359,,,,,,,,,,,,,,,,
,,,,,,,,,,54987.2529,2009hard,16.58,,,,0.8484453514,,,,16.92871036,,,,,,,,,,,,,,,,
,,,,,,,,,,54988.14696,2009hard,16.42,,,,0.9831592612,,,,19.61660623,,,,,,,,,,,,,,,,
,,,,,,,,,,54989.19383,2009hard,16.59,,,,0.8406667577,,,,16.77350701,,,,,,,,,,,,,,,,
,,,,,,,,,,54990.30017,2009hard,16.57,,,,0.8562959196,,,,17.08534979,,,,,,,,,,,,,,,,
,,,,,,,,,,54991.25548,2009hard,16.58,,,,0.8484453514,,,,16.92871036,,,,,,,,,,,,,,,,
,,,,,,,,,,54992.22953,2009hard,16.71,,,,0.7527033944,,,,15.01840717,,,,,,,,,,,,,,,,
,,,,,,,,,,54993.21258,2009hard,16.58,,,,0.8484453514,,,,16.92871036,,,,,,,,,,,,,,,,
,,,,,,,,,,54994.29197,2009hard,16.73,,,,0.7389650092,,,,14.74429035,,,,,,,,,,,,,,,,
,,,,,,,,,,54995.2855,2009hard,16.62,,,,0.8177562547,,,,16.31638238,,,,,,,,,,,,,,,,
,,,,,,,,,,54998.13382,2009hard,16.82,,,,0.6801800262,,,,13.57137574,,,,,,,,,,,,,,,,
,,,,,,,,,,55003.31368,2009hard,16.77,,,,0.7122359233,,,,14.21097497,,,,,,,,,,,,,,,,
,,,,,,,,,,55004.19439,2009hard,16.69,,,,0.7666971953,,,,15.29762021,,,,,,,,,,,,,,,,
,,,,,,,,,,55005.22053,2009hard,16.84,,,,0.6677653416,,,,13.32367021,,,,,,,,,,,,,,,,
,,,,,,,,,,55007.12659,2009hard,16.88,,,,0.6436116172,,,,12.84174005,,,,,,,,,,,,,,,,
,,,,,,,,,,55008.0655,2009hard,16.76,,,,0.7188261611,,,,14.3424675,,,,,,,,,,,,,,,,
,,,,,,,,,,55010.14582,2009hard,16.87,,,,0.6495668822,,,,12.96056321,,,,,,,,,,,,,,,,
,,,,,,,,,,55012.16342,2009hard,16.93,,,,0.6146443227,,,,12.26376654,,,,,55011.34,0.00000000085644,,55011.75171,37.05306083,-1.818161725,35.41498459,-3.456237962,,,,
,,,,,,,,,,55013.04825,2009hard,16.88,,,,0.6436116172,,,,12.84174005,,,,,55013.33,0.0000000017918,,55013.18913,37.37365342,-1.497569135,35.43498459,-3.436237962,,,,